Cry_Reason,Amplitude_Envelope_Mean,RMS_Mean,ZCR_Mean,STFT_Mean,SC_Mean,SBAN_Mean,SCON_Mean,MFCCs13Mean,delMFCCs13,del2MFCCs13,MelSpec,MFCCs20,MFCCs1,MFCCs2,MFCCs3,MFCCs4,MFCCs5,MFCCs6,MFCCs7,MFCCs8,MFCCs9,MFCCs10,MFCCs11,MFCCs12,MFCCs13
0,0.028202115,0.011049677,0.098990012,0.10238884,1264.335599,519.1011206,26.82180699,-48.27123,0.08218775,-0.0030101,-52.58201,-31.961296,-606.60547,93.9349,-47.782738,-15.073559,10.004257,-30.088297,-18.766724,8.679635,-2.3520777,-7.7462444,-3.0962021,-4.7152734,-3.9180954
0,0.02107089,0.006950727,0.115383123,0.050369333,1268.608766,575.4575492,25.88131249,-49.861237,0.10137523,0.01890978,-55.12258,-32.50051,-628.12067,101.60248,-34.45939,-10.316871,-0.6070605,-25.927773,-4.430356,-4.6190925,-22.430754,-4.3032727,0.17262046,-11.258208,-3.4977849
0,0.029967224,0.010904365,0.116662681,0.10004214,1546.5782,699.6266489,26.59471457,-49.541706,0.02360533,0.020593692,-50.736797,-31.240011,-585.09564,86.38556,-67.562416,-22.161522,2.0707543,-26.675592,3.2948687,7.7887993,-21.903955,-5.7445436,4.150358,-11.7187195,-6.870083
0,0.02716325,0.01051994,0.085080583,0.14076592,1089.415328,668.8959515,25.60830957,-44.275997,-0.016075362,0.030941423,-47.15573,-29.790195,-538.0991,96.096985,-20.241573,-1.7045985,0.22628057,-29.814095,-14.937744,-11.162116,-21.503994,-7.5013094,-7.856627,-15.119538,-3.9704835
0,0.01666276,0.006576641,0.067107952,0.057628784,1017.610932,700.6824103,28.19600976,-51.325264,0.02111214,0.012414595,-54.007328,-32.03135,-611.4486,68.68205,-8.392762,7.8121095,-9.09841,-34.050182,-9.673841,-11.780775,-24.962975,-7.6970654,-9.014325,-15.366213,-2.2374368
0,0.002970439,0.001263589,0.099787226,0.001930302,1257.268556,609.5305017,28.79884644,-58.81048,0.02720424,0.019661294,-64.7685,-39.316048,-742.0144,77.35845,-24.530485,-9.814217,3.6504748,-14.802872,-9.125774,-7.5267324,-11.8113985,-3.2967782,-7.9349246,-12.195015,-2.4926345
0,0.014278668,0.004565232,0.078839637,0.052025504,1020.305522,517.4294951,23.41174595,-51.384373,0.018210273,0.016440207,-55.838116,-33.93086,-640.6875,54.92036,-16.62698,-2.2241478,0.66849214,-17.647436,-6.8076763,-2.6970747,-10.3327875,-4.9980917,-6.928677,-10.997031,-3.6383343
0,0.032842148,0.012870769,0.076891276,0.4716012,950.4350387,426.8362731,26.46658752,-41.619473,0.07042257,0.005401766,-49.539783,-27.747023,-569.5228,60.464504,2.4425676,6.0190945,3.2930627,-12.152565,-2.9909332,2.4429195,-4.5108824,-3.9125195,-6.5329747,-10.49116,-5.601485
0,0.036280937,0.012751014,0.151406912,0.12144297,1713.383387,618.9988658,27.58593659,-48.444992,-0.04123995,0.00377662,-49.296646,-30.814884,-560.6789,90.63908,-86.53802,-26.359617,4.2128882,-32.291954,5.7466836,17.703714,-18.981352,-7.1394467,3.9792128,-12.288966,-7.788201
0,0.1624547,0.05707175,0.183001192,2.031869,2028.962371,661.3243153,27.38766289,-37.93612,0.023648579,-0.008338299,-37.30288,-24.968128,-426.6486,89.48391,-112.769516,-3.7745447,30.078794,-42.075684,-0.85440063,15.597173,-31.172428,-9.682974,11.356677,-7.868112,-4.8398585
0,0.03121743,0.009057258,0.072837981,0.1288111,949.723048,502.4204737,24.58170059,-48.776436,-0.031073773,0.011970622,-53.622143,-32.0253,-614.29095,69.3072,-25.569735,-0.32435426,-0.7116621,-26.972254,-6.2973547,-2.393346,-14.57536,-0.68939024,-0.59778196,-9.44598,-1.5327486
0,0.017407764,0.008612689,0.08247426,0.22856638,1066.335542,466.5497529,28.21829224,-43.96406,0.000615935,0.006027669,-48.55581,-28.327566,-560.68646,28.196955,-1.5230902,-0.17695466,-0.912659,-8.516251,-4.6614738,-2.8164945,-6.6498556,-4.6853194,-3.207099,-3.9728227,-1.9212068
0,0.018339232,0.005844145,0.133455996,0.0540709,1508.535654,581.6280911,26.32780777,-52.240917,-0.000495689,0.004893715,-55.834587,-34.057716,-631.242,81.551254,-19.210094,-14.615758,-8.836019,-23.136765,-9.280055,-7.204411,-16.268616,-4.601859,-3.548016,-13.716755,-9.022855
0,0.08824888,0.03935786,0.08545892,1.1615111,1137.288558,592.270705,25.16087615,-37.13763,0.020041864,0.020017779,-40.082733,-24.086277,-453.7206,90.625885,-40.489338,-14.864902,-8.936381,-32.543526,-5.29032,-1.9597996,-13.632083,6.6947036,3.5747757,-10.575782,-1.6718103
0,0.013442265,0.005534066,0.077065958,0.034734026,963.7673876,385.5211504,26.04093694,-55.180702,0.04405337,0.015738335,-59.460133,-35.424072,-680.9191,61.969845,-38.836697,-13.707529,2.03148,-20.912453,-6.161524,3.9695005,-10.21758,-4.6287274,1.0237579,-6.7254014,-4.234541
